Links,Newspaper,Date,State,Headline,Tone,Justification,Type
"https://www.loc.gov/resource/sn86092282/1916-10-26/ed-1/?sp=6&q=women%27s+suffrage+amendment&st=text&r=-0.08,0.052,1.145,0.981,0",The Randolph Enterprises,10/26/1916,VA,The Equal Suffrage Amendment,Pro,Provides text of amendment ,News
"https://www.loc.gov/resource/sn86076142/1914-03-20/ed-1/?sp=1&q=women%27s+suffrage+amendment&st=text&r=0.327,0.551,0.633,0.633,0",Tonopah Daily Bonanza,3/20/1914,NV,Cannot Amend the Consititution to Secure Votes for Women,Anti,Reports senator Borag arguing against suffrage amendment,
"https://www.loc.gov/resource/sn84020645/1916-12-15/ed-1/?sp=12&q=women%27s+suffrage+amendment&st=text&r=0.239,0.364,0.321,0.275,0",The Montgomery Advertiser,12/15/1916,AL,Suffrage Advocates Win Partial Victory,Pro,Reports positive congressional action,News
"https://www.loc.gov/resource/sn99021999/1920-01-07/ed-1/?sp=2&q=women%27s+suffrage+amendment&st=text&r=0.612,0.097,0.356,0.305,0",Omaha Daily Bee,1/7/1920,NE,"Rhode Island Ratifies Suffrage, Bringing 23 States Into Fold",Pro,Factual report on state ratification progress,News
"https://www.loc.gov/resource/sn83045433/1917-12-03/ed-1/?sp=4&q=women%27s+suffrage+amendment&st=text&r=0.181,0.706,0.362,0.311,0",The Washington Herald,12/3/1917,DC,Gerard to Address Suffrage Meeting,Pro ,Announcing upcoming convention,News
"https://www.loc.gov/resource/46032385/1919-02-01/ed-1/?sp=10&q=women%27s+suffrage+amendment&st=text&r=-0.064,0.044,1.009,0.865,0",The Commoner,2/1/1919,NE,Hitchcock Refuces to Vote for Suffrage,Anti,Reports senator rejecting suffrage resolution,News
"https://www.loc.gov/resource/sn85035720/1919-10-01/ed-2/?sp=2&q=women%27s+suffrage+amendment&st=text&r=0.158,0.161,0.368,0.315,0",The Perth Amboy,10/1/1919,NJ,Outstanding Features in Two Party Platforms,Neutral,Summurizes party platforms,Editorial
"https://www.loc.gov/resource/sn85050913/1920-09-20/ed-1/?sp=2&q=women%27s+suffrage+amendment&st=text&r=0.173,0.951,0.32,0.274,0",Webster City Freeman,9/20/1920,IA,Herring's Record,Anti,Criticizees Herring's anti-suffrage past,Editorial
"https://www.loc.gov/resource/sn88084272/1910-04-14/ed-1/?sp=6&q=women%27s+suffrage+amendment&st=text&r=0.533,0.108,0.325,0.279,0",El Paso Herald,4/14/1910,TX,Votes for Women,Pro,Reports growth of suffrage,News
"https://www.loc.gov/resource/sn87058235/1916-03-22/ed-1/?sp=9&q=women%27s+suffrage+amendment&st=text&r=0.137,0.075,0.403,0.345,0",Decorah Public Opinion,3/22/1916,IA,Vote On Suffrage June 5,Pro,Explains upcoming vote on Iowa suffrage amendment,News
